# Version 0.0
# Observable: $1/N dN/dM [c^{2}/GeV]$
# Subobservable: $M [GeV/c^{2}]$
# Title: $R=0.4 ~ 25 < p_{T} < 30$ GeV/$c$
# XScale: linear
# YScale: log
# XLims: 0.000000e+00 1.200000e+01
# YLims: 9.000000e-04 1.100000e+00
# xmin xmax y y_err
0.000000e+00 1.000000e+00 2.540000e-03 5.385165e-04
1.000000e+00 2.000000e+00 2.330000e-02 6.053098e-03
2.000000e+00 3.000000e+00 1.132000e-01 2.206558e-02
3.000000e+00 4.000000e+00 2.050000e-01 2.608467e-02
4.000000e+00 5.000000e+00 2.381000e-01 6.324555e-03
5.000000e+00 6.000000e+00 1.853000e-01 1.207021e-02
6.000000e+00 7.000000e+00 1.241000e-01 1.403567e-02
7.000000e+00 8.000000e+00 6.640000e-02 1.700735e-02
8.000000e+00 9.000000e+00 2.797000e-02 1.300302e-02
9.000000e+00 1.000000e+01 9.860000e-03 7.001028e-03
1.000000e+01 1.100000e+01 2.351000e-03 2.300266e-03
1.100000e+01 1.200000e+01 1.927000e-03 1.700058e-03
